u,v,timestamp,state_label,feature
0,1,277,1,0.18155619596541786
0,1,278,1,0.18155619596541786
0,1,279,1,0.18155619596541786
0,1,280,1,0.18155619596541786
0,1,281,1,0.18155619596541786
0,1,282,1,0.18155619596541786
0,1,283,1,0.18155619596541786
0,1,284,1,0.18155619596541786
0,1,285,1,0.18155619596541786
0,1,286,1,0.18155619596541786
0,1,287,1,0.18155619596541786
0,1,288,1,0.18155619596541786
0,1,289,1,0.18155619596541786
0,1,290,1,0.18155619596541786
0,1,291,1,0.18155619596541786
0,1,292,1,0.18155619596541786
0,1,293,1,0.18155619596541786
0,1,294,1,0.18155619596541786
0,1,295,1,0.18155619596541786
0,1,296,1,0.18155619596541786
0,1,297,1,0.18155619596541786
0,1,298,1,0.18155619596541786
0,1,299,1,0.18155619596541786
0,1,300,1,0.18155619596541786
0,1,301,1,0.18155619596541786
0,1,302,1,0.18155619596541786
0,1,303,1,0.18155619596541786
0,1,304,1,0.18155619596541786
0,1,305,1,0.18155619596541786
0,1,306,1,0.18155619596541786
0,1,307,1,0.18155619596541786
0,1,308,1,0.18155619596541786
0,1,309,1,0.18155619596541786
0,1,310,1,0.18155619596541786
0,1,311,1,0.18155619596541786
0,1,312,1,0.18155619596541786
0,1,313,1,0.18155619596541786
0,1,314,1,0.18155619596541786
0,1,315,1,0.18155619596541786
0,1,316,1,0.18155619596541786
0,1,317,1,0.18155619596541786
0,1,318,1,0.18155619596541786
0,1,319,1,0.18155619596541786
0,1,320,1,0.18155619596541786
0,1,321,1,0.18155619596541786
0,1,322,1,0.18155619596541786
0,1,323,1,0.18155619596541786
0,1,324,1,0.18155619596541786
0,1,325,1,0.18155619596541786
0,1,326,1,0.18155619596541786
0,1,327,1,0.18155619596541786
0,1,328,1,0.18155619596541786
0,1,329,4,0.18155619596541786
0,1,330,4,0.18155619596541786
0,1,331,4,0.18155619596541786
0,1,332,4,0.18155619596541786
0,1,333,4,0.18155619596541786
0,1,334,4,0.18155619596541786
0,1,335,4,0.18155619596541786
0,1,336,4,0.18155619596541786
0,1,337,4,0.18155619596541786
0,1,338,4,0.18155619596541786
0,1,339,4,0.18155619596541786
0,1,340,4,0.18155619596541786
0,1,341,4,0.18155619596541786
0,1,342,4,0.18155619596541786
0,1,343,4,0.18155619596541786
0,1,344,1,0.18155619596541786
0,1,345,1,0.18155619596541786
0,1,346,1,0.18155619596541786
0,1,347,1,0.18155619596541786
0,1,348,1,0.18155619596541786
0,1,349,1,0.18155619596541786
0,1,350,1,0.18155619596541786
0,1,351,1,0.18155619596541786
0,1,352,1,0.18155619596541786
0,1,353,1,0.18155619596541786
0,1,354,1,0.18155619596541786
0,1,355,1,0.18155619596541786
0,1,356,1,0.18155619596541786
0,1,357,1,0.18155619596541786
0,1,358,1,0.18155619596541786
0,1,359,1,0.18155619596541786
0,1,360,1,0.18155619596541786
0,1,361,1,0.18155619596541786
0,1,362,1,0.18155619596541786
0,1,363,1,0.18155619596541786
0,1,364,1,0.18155619596541786
0,1,365,1,0.18155619596541786
0,1,366,1,0.18155619596541786
0,1,367,1,0.18155619596541786
0,1,368,1,0.18155619596541786
0,1,369,1,0.18155619596541786
0,1,370,1,0.18155619596541786
0,1,371,1,0.18155619596541786
0,1,372,1,0.18155619596541786
0,1,373,1,0.18155619596541786
0,1,374,1,0.18155619596541786
0,1,375,1,0.18155619596541786
0,1,376,1,0.18155619596541786
0,1,377,1,0.18155619596541786
0,1,378,1,0.18155619596541786
0,1,379,1,0.18155619596541786
0,1,380,1,0.18155619596541786
0,1,381,1,0.18155619596541786
0,1,382,1,0.18155619596541786
0,1,383,1,0.18155619596541786
0,1,384,1,0.18155619596541786
0,1,385,1,0.18155619596541786
0,1,386,1,0.18155619596541786
0,1,387,1,0.18155619596541786
0,1,388,1,0.18155619596541786
0,1,389,1,0.18155619596541786
0,1,390,1,0.18155619596541786
0,1,391,1,0.18155619596541786
0,1,392,1,0.18155619596541786
0,1,393,1,0.18155619596541786
0,1,394,1,0.18155619596541786
0,1,395,1,0.18155619596541786
0,1,396,1,0.18155619596541786
0,1,397,1,0.18155619596541786
0,1,398,1,0.18155619596541786
0,1,399,1,0.18155619596541786
0,1,400,1,0.18155619596541786
0,1,401,1,0.18155619596541786
0,1,402,1,0.18155619596541786
0,1,403,1,0.18155619596541786
0,1,404,1,0.18155619596541786
0,1,405,1,0.18155619596541786
0,1,406,1,0.18155619596541786
0,1,407,1,0.18155619596541786
0,1,408,1,0.18155619596541786
0,1,409,1,0.18155619596541786
0,1,410,1,0.18155619596541786
0,1,411,1,0.18155619596541786
0,1,412,1,0.18155619596541786
0,1,413,1,0.18155619596541786
0,1,414,1,0.18155619596541786
0,1,415,1,0.18155619596541786
0,1,416,1,0.18155619596541786
0,1,417,1,0.18155619596541786
0,1,418,1,0.18155619596541786
0,1,419,1,0.18155619596541786
0,1,420,1,0.18155619596541786
0,1,421,1,0.18155619596541786
0,1,422,1,0.18155619596541786
0,1,423,1,0.18155619596541786
0,1,424,1,0.18155619596541786
0,1,425,1,0.18155619596541786
0,1,426,1,0.18155619596541786
0,1,427,1,0.18155619596541786
0,1,428,1,0.18155619596541786
0,1,429,1,0.18155619596541786
0,1,430,1,0.18155619596541786
0,1,431,1,0.18155619596541786
0,1,432,1,0.18155619596541786
0,1,433,1,0.18155619596541786
0,1,434,1,0.18155619596541786
0,1,435,1,0.18155619596541786
0,1,436,1,0.18155619596541786
0,1,437,1,0.18155619596541786
0,1,438,1,0.18155619596541786
0,1,439,1,0.18155619596541786
0,1,440,1,0.18155619596541786
0,2,488,1,0.18155619596541786
0,2,489,1,0.18155619596541786
0,2,490,1,0.18155619596541786
0,2,491,1,0.18155619596541786
0,2,492,1,0.18155619596541786
0,2,493,1,0.18155619596541786
0,2,494,1,0.18155619596541786
0,2,495,1,0.18155619596541786
0,2,496,1,0.18155619596541786
0,2,497,1,0.18155619596541786
0,2,498,1,0.18155619596541786
0,2,499,1,0.18155619596541786
0,2,500,1,0.18155619596541786
0,2,501,4,0.18155619596541786
0,2,502,4,0.18155619596541786
0,2,503,4,0.18155619596541786
0,1,3273,2,0.18155619596541786
0,1,3274,2,0.18155619596541786
0,1,3275,2,0.18155619596541786
0,1,3276,2,0.18155619596541786
0,1,3277,2,0.18155619596541786
0,1,3278,2,0.18155619596541786
0,1,3279,2,0.18155619596541786
0,1,3280,2,0.18155619596541786
0,1,3281,2,0.18155619596541786
0,1,3282,2,0.18155619596541786
0,1,3283,2,0.18155619596541786
0,1,3284,2,0.18155619596541786
0,1,3285,2,0.18155619596541786
0,1,3286,2,0.18155619596541786
0,1,3287,2,0.18155619596541786
0,1,3288,2,0.18155619596541786
0,1,3289,2,0.18155619596541786
0,1,3290,2,0.18155619596541786
0,1,3291,2,0.18155619596541786
0,1,3292,2,0.18155619596541786
0,1,3293,2,0.18155619596541786
0,1,3294,2,0.18155619596541786
0,1,3295,2,0.18155619596541786
0,1,3296,2,0.18155619596541786
0,1,3297,2,0.18155619596541786
0,1,3298,2,0.18155619596541786
0,1,3299,2,0.18155619596541786
0,1,3300,2,0.18155619596541786
0,1,3301,2,0.18155619596541786
0,1,3302,2,0.18155619596541786
0,1,3303,2,0.18155619596541786
0,1,3304,2,0.18155619596541786
